github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.17.8/zstd/internal/xxhash/LICENSE.txt,MIT,Klaus Post
github.com/kylelemons/godebug,https://github.com/kylelemons/godebug/blob/v1.1.0/LICENSE,Apache-2.0,Kyle Lemons
github.com/leodido/go-urn,https://github.com/leodido/go-urn/blob/v1.4.0/LICENSE,MIT,Leo Di Donato
github.com/magiconair/properties,https://github.com/magiconair/properties/blob/v1.8.7/LICENSE.md,BSD-2-Clause,Frank Schröder
github.com/mailru/easyjson,https://github.com/mailru/easyjson/blob/v0.7.7/LICENSE,MIT,Free and open source software developed at VK
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/v0.1.13/LICENSE,MIT,mattn
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.20/LICENSE,MIT,mattn
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/v0.0.15/LICENSE,MIT,mattn
github.com/mattn/go-shellwords,https://github.com/mattn/go-shellwords/blob/v1.0.12/LICENSE,MIT,mattn
github.com/mgutz/ansi,https://github.com/mgutz/ansi/blob/d51e80ef957d/LICENSE,MIT,Mario Gutierrez
github.com/mitchellh/copystructure,https://github.com/mitchellh/copystructure/blob/v1.2.0/LICENSE,MIT,Mitchell Hashimoto
github.com/mitchellh/mapstructure,https://github.com/mitchellh/mapstructure/blob/v1.5.0/LICENSE,MIT,Mitchell Hashimoto
github.com/mitchellh/reflectwalk,https://github.com/mitchellh/reflectwalk/blob/v1.0.2/LICENSE,MIT,Mitchell Hashimoto
github.com/moby/buildkit,https://github.com/moby/buildkit/blob/v0.13.2/LICENSE,Apache-2.0,Moby
github.com/moby/docker-image-spec/specs-go/v1,https://github.com/moby/docker-image-spec/blob/v1.3.1/LICENSE,Apache-2.0,Moby
github.com/moby/locker,https://github.com/moby/locker/blob/v1.0.1/LICENSE,Apache-2.0,Moby
github.com/moby/patternmatcher,https://github.com/moby/patternmatcher/blob/v0.6.0/LICENSE,Apache-2.0,Moby
github.com/moby/spdystream,https://github.com/moby/spdystream/blob/v0.2.0/LICENSE,Apache-2.0,Moby
github.com/moby/sys/mountinfo,https://github.com/moby/sys/blob/mountinfo/v0.7.1/mountinfo/LICENSE,Apache-2.0,Moby
github.com/moby/sys/sequential,https://github.com/moby/sys/blob/sequential/v0.5.0/sequential/LICENSE,Apache-2.0,Moby
github.com/moby/sys/signal,https://github.com/moby/sys/blob/signal/v0.7.0/signal/LICENSE,Apache-2.0,Moby
github.com/moby/sys/symlink,https://github.com/moby/sys/blob/symlink/v0.2.0/symlink/LICENSE,Apache-2.0,Moby
github.com/moby/sys/user,https://github.com/moby/sys/blob/user/v0.1.0/user/LICENSE,Apache-2.0,Moby
github.com/moby/term,https://github.com/moby/term/blob/v0.5.0/LICENSE,Apache-2.0,Moby
github.com/modern-go/concurrent,https://github.com/modern-go/concurrent/blob/bacd9c7ef1dd/LICENSE,Apache-2.0,Modern Go Programming
github.com/modern-go/reflect2,https://github.com/modern-go/reflect2/blob/v1.0.2/LICENSE,Apache-2.0,Modern Go Programming
github.com/montanaflynn/stats,https://github.com/montanaflynn/stats/blob/v0.7.1/LICENSE,MIT,Montana Flynn
github.com/morikuni/aec,https://github.com/morikuni/aec/blob/v1.0.0/LICENSE,MIT,morikuni
github.com/munnerz/goautoneg,https://github.com/munnerz/goautoneg/blob/a7dc8b61c822/LICENSE,BSD-3-Clause,James Munnelly
github.com/mxk/go-flowrate/flowrate,https://github.com/mxk/go-flowrate/blob/cca7078d478f/LICENSE,BSD-3-Clause,Maxim Khitrov
github.com/nicksnyder/go-i18n/v2,https://github.com/nicksnyder/go-i18n/blob/v2.4.0/v2/LICENSE,MIT,Nick Snyder
github.com/oklog/ulid/v2,https://github.com/oklog/ulid/blob/v2.1.0/LICENSE,Apache-2.0,OK Log
github.com/opencontainers/go-digest,https://github.com/opencontainers/go-digest/blob/v1.0.0/LICENSE,Apache-2.0,Open Container Initiative
github.com/opencontainers/image-spec/specs-go,https://github.com/opencontainers/image-spec/blob/v1.1.0/LICENSE,Apache-2.0,Open Container Initiative
github.com/outcaste-io/ristretto,https://github.com/outcaste-io/ristretto/blob/v0.2.3/LICENSE,Apache-2.0,Outcaste LLC
github.com/outcaste-io/ristretto/z,https://github.com/outcaste-io/ristretto/blob/v0.2.3/z/LICENSE,MIT,Outcaste LLC
github.com/pelletier/go-toml,https://github.com/pelletier/go-toml/blob/v1.9.5/LICENSE,Apache-2.0,Thomas Pelletier
github.com/pelletier/go-toml/v2,https://github.com/pelletier/go-toml/blob/v2.2.2/LICENSE,MIT,Thomas Pelletier
github.com/philhofer/fwd,https://github.com/philhofer/fwd/blob/v1.1.2/LICENSE.md,MIT,Phil
github.com/pkg/browser,https://github.com/pkg/browser/blob/5ac0b6a4141c/LICENSE,BSD-2-Clause,pkg
github.com/pkg/errors,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,BSD-2-Clause,pkg
github.com/pmezard/go-difflib/difflib,https://github.com/pmezard/go-difflib/blob/5d4384ee4fb2/LICENSE,BSD-3-Clause,Patrick Mézard
github.com/prometheus/client_golang/prometheus,https://github.com/prometheus/client_golang/blob/v1.19.1/LICENSE,Apache-2.0,Prometheus
github.com/prometheus/client_model/go,https://github.com/prometheus/client_model/blob/v0.6.1/LICENSE,Apache-2.0,Prometheus
github.com/prometheus/common,https://github.com/prometheus/common/blob/v0.54.0/LICENSE,Apache-2.0,Prometheus
github.com/prometheus/common/internal/bitbucket.org/ww/goautoneg,https://github.com/prometheus/common/blob/v0.54.0/internal/bitbucket.org/ww/goautoneg/README.txt,BSD-3-Clause,Prometheus
github.com/prometheus/procfs,https://github.com/prometheus/procfs/blob/v0.15.1/LICENSE,Apache-2.0,Prometheus
github.com/r3labs/sse,https://github.com/r3labs/sse/blob/26fe804710bc/LICENSE,MPL-2.0,R3 Labs
github.com/richardartoul/molecule,https://github.com/richardartoul/molecule/blob/32cfee06a052/LICENSE,MIT,Richard Artoul
github.com/richardartoul/molecule/src/codec,https://github.com/richardartoul/molecule/blob/32cfee06a052/src/codec/LICENSE,Apache-2.0,Richard Artoul
github.com/richardartoul/molecule/src/protowire,https://github.com/richardartoul/molecule/blob/32cfee06a052/src/protowire/LICENSE,BSD-3-Clause,Richard Artoul
github.com/rivo/uniseg,https://github.com/rivo/uniseg/blob/v0.4.7/LICENSE.txt,MIT,rivo
github.com/sagikazarmark/slog-shim,https://github.com/sagikazarmark/slog-shim/blob/v0.1.0/LICENSE,BSD-3-Clause,Márk Sági-Kazár
github.com/secure-systems-lab/go-securesystemslib,https://github.com/secure-systems-lab/go-securesystemslib/blob/v0.8.0/LICENSE,MIT,Secure Systems Lab at NYU
github.com/serialx/hashring,https://github.com/serialx/hashring/blob/22c0c7ab6b1b/LICENSE,MIT,Sung-jin Brian Hong
github.com/shibumi/go-pathspec,https://github.com/shibumi/go-pathspec/blob/v1.3.0/LICENSE,Apache-2.0,Christian Rebischke
